,sentence
977,যোজন যোজন প্রাচীন ভারতের দূরত্বের একক
978,একে গলিয়ে ছাচে ঢালাই করা যায়  thermoplastic
979,কঠিন গালা কমলা খয়েরী রঙের ভঙ্গুর পদার্থ
980,গন্ধরস গন্ধরস   একরকম সুগন্ধী রজন
981,মূল গন্ধরস আরব ও আফ্রিকার একটি গাছের থেকে পাওয়া যায়
982,এটির স্বাদ তিক্ত ও কষা
983,এর রঙ হলদেটে বাদামী থেকে লালচে বাদামী হতে পারে
984,প্রাচীনকালে সুগন্ধীর একটি উপাদান হিসেবে গন্ধরসের কদর ছিল
985,বাইবেলের Psalms 45 8 এবং Song 4 14 এ এর উল্লেখ আছে
986,যিশুখ্রিস্টকে তিন জ্ঞানী যে তিনটি উপহার দেন  তার একটি ছিল গন্ধরস
987,গন্ধরস আগে টনিক হিসেবেও ব্যবহৃত হত
988,প্যারাফিন Paraffin  কৃত্রিম মোমের উদাহরণ
989,কোন কোন উদ্ভিদে প্রাপ্ত মোম ২৪ থেকে ৩৬ কার্বনবিশিষ্ট হয়
990,উপাদান  মৌমোম প্রধাতঃ দীর্ঘ শৃঙ্খল অ্যালকোহল ও ফ্যাটি অ্যাসিডের এস্টার
991,মোম জ্বালালে খুব কম ধোঁয়া হয়
992,রাবার টানলে লম্বা হয়   ইলাস্টিক   এমন কয়েকটি নরম পদার্থ
993,মানবসভ্যতার বিকাশকাল হতে পোড়ামাটির ভাস্কর্যের ব্যবহার পরিলক্ষিত হচ্ছে
994,প্রাচীন কালে এই পদ্ধতিতে নানাধরনের পাত্র  তাবিজ  ইট তৈরি করা হতো
995,এই সূত্রে মসজিদেও টেরাকোটা ব্যবহৃত হয়েছে
996,মূলত টেরাকোটা সাংসরিক কাজে ব্যবহারের জন্য তৈরি কথা হয়
997,গৃহাদি অলঙ্করণ বা কোনো শৈল্পিক প্রদর্শনের জন্য টেরাকোটা তৈরি করা হয়
998,কিছু কুশলী শিল্পীরা টেরাকোটা তৈরি করে থাকেন
999,বাগদাদ ইরাকের রাজধানী
1000,প্রধানমন্ত্রী হলেন সরকার প্রধান
1001,ইরাকের জাতীয় সংসদের আসনসংখ্যা ২৭৫
1002,নির্বাচিত সরকার ২০০৬ ২০১০ সালের জন্য ক্ষমতায় থাকবে
1003,হায়দার আল আবাদি ইরাকের বর্তমান প্রধানমন্ত্রী
1004,ফুয়াদ মাসুম দেশের রাষ্ট্রপতি
1005,এটি প্রথম উপসাগরীয় যুদ্ধ নামেও পরিচিত
1006,ইতিহাসে এ ঘটনা দ্বিতীয় উপসাগরীয় যুদ্ধ নামে পরিচির
1007,প্রশাসনিক অঞ্চলসমূহ  ইরাক উনিশ গভর্নরেট  বা প্রদেশ  দ্বারা গঠিত হয়
1008,২০১১ সালের হিসেবে বাগদাদের জনসংখ্যা প্রায় ৭ ২১৬ ০৪০ জন
1009,রাজধানীর নাম কুয়েত সিটি
1010,জনসংখ্যা  আদর্শ আরবি ভাষা কুয়েতের সরকারি ভাষা
1011,আদর্শ আরবি ভাষাটি ধ্রুপদী আরবি ভাষার একটি আধুনিকায়িত রূপ
