,Inflected_sentences
562,টোকিও'র সহায়তায় বাস্তবায়নাধীন প্রকল্পগুলোর দ্রুত এবং সুষ্ঠু বাস্তবায়ন ও তাঁর দেশ প্রত্যাশা করেন তিনি।
563,"সফরের প্রথম দিন তিনি বঙ্গভবনে আয়োজিত সমাবেশে বলেন, ""কঠিন এই সংকট সমাধানে আন্তর্জাতিক সম্প্রদায়ের গুরুত্বপূর্ণ সিদ্ধান্ত নেওয়া উচিত।"""
564,অফিস চলাকালে সরকারি চিকিৎসকদের প্রাইভেট প্র্যাকটিস বন্ধে সংশ্লিষ্ট কর্তৃপক্ষের নিষ্ক্রিয়তার বৈধতা চ্যালেঞ্জ করে হাইকোর্টে রিট আবেদন দায়ের করা হয়েছে।
565,১ অক্টোবর ভোরে ফ্লাইটটি হজরত শাহজালাল আন্তর্জাতিক বিমানবন্দরে অবতরণ করবে।
566,"শহীদুল হক বলেন, আজকের দ্বিপাক্ষিক আলোচনাটি খুবই ইতিবাচক হয়েছে এবং আলোচ্য বিষয়ে দীর্ঘ আলোচনা অনুষ্ঠিত হওয়ায় এটি কার্যকর হবে বলেও আশা করা যায়।"
567,ইরানীয় রাষ্ট্রদূত দেশের আর্থ-সামাজিক উন্নয়নে প্রধানমন্ত্রীর সুষম নীতিমালার ভূয়সী প্রশংসা করেন।
568,বুধবার স্বরাষ্ট্র মন্ত্রণালয়ে জননিরাপত্তা বিভাগ রাজনৈতিক অধিশাখা-২ এর এক প্রজ্ঞাপনে এ ব্যাপারে জানানো হয়েছে।
569,"পরিবেশ অধিদপ্তর জানায়, কর্ণফুলীর দৈর্ঘ্য ১৩১ কিলোমিটার।"
570,কামাল সোমবার মন্ত্রিসভা বৈঠকে জিডিপির প্রবৃদ্ধি অবহিত করেন বলে অর্থমন্ত্রণালয়ের এক সংবাদ বিজ্ঞপ্তিতে জানানো হয়েছে।
571,"কিন্তু এ উদ্যোগ কতটা যৌক্তিক, তা ভেবে দেখা প্রয়োজন।"
572,"পররাষ্ট্র সচিব বলেন, ভুটানে উৎপাদিত জলবিদ্যুৎ ভারত ও বাংলাদেশে বাজারজাতকরণ শুরু হলে এই তিন দেশের মধ্যে ত্রিপক্ষীয় সহযোগিতার সৃষ্টি হবে।"
573,"ডাক, টেলিযোগাযোগ ও তথ্যপ্রযুক্তি মন্ত্রণালয়ের মন্ত্রী মোস্তাফা জব্বারকে একই মন্ত্রণালয়ের অধীন ডাক ও টেলিযোগাযোগ বিভাগের মন্ত্রী করা হয়।"
574,তেল ও গ্যাসের দাম বাড়ানোর ক্ষেত্রে দীর্ঘমেয়াদি নীতিমালা থাকা প্রয়োজন সরকারের।
575,চট্টগ্রামের শাহ আমানত আন্তর্জাতিক বিমানবন্দরের রানওয়েতে বাংলাদেশ নৌবাহিনীর একটি প্রশিক্ষণ বিমান বিধ্বস্ত হয়েছে।
576,বিমানবন্দরে নিরাপত্তা জোরদার হবেঃ স্বরাষ্ট্রমন্ত্রী
577,"চতুর্থ প্রস্তাবে প্রধানমন্ত্রী বলেন, আমাদেরকে বন্ধুত্ব ও সহযোগিতার মাধ্যমে আমাদের ভূ-রাজনৈতিক বাস্তবতা পরিচালনা করতে হবে।"
